BARDO ŚLĄSKIE,4
BIERUTÓW,2
BOLESŁAWÓW,4
BOLKÓW,2
BORÓW,2
BRZEG,2
BRZEG DOLNY,1
CHWAŁKOWICE,0
CIESZYN,4
DŁUGOPOLE-ZDRÓJ,4
DOBROGOSZCZ,2
DZIERŻONIÓW,2
DZIEWIĘTLICE,3
GŁOGÓW,0
GŁUBCZYCE,4
GŁUCHOŁAZY,3
GOŚCIEJOWICE,2
GRABOWNICA,1
ISTEBNA-STECÓWKA,4
ISTEBNA-WIEŚ,4
JARNOŁTÓWEK,3
JAWOR,1
JEDLINA-ZDRÓJ,2
JELCZ-LASKOWICE,2
KACZORÓW,2
KAMIENICA,4
KĄTY WROCŁAWSKIE,2
KŁODZKO,4
KOPICE,3
KORFANTÓW II,3
KRUPSKI MŁYN,3
KUDOWA-ZDRÓJ,4
LĄDEK-ZDRÓJ,4
LEGNICA,1
LESZNO,0
LEWIN KŁODZKI,4
LIGOTA GÓRNA,3
LUBACHÓW,2
LUBIN,1
LUBOMIN, 2
ŁABĘDY,4
ŁANY,2
MIĘDZYGÓRZE,4
MIĘDZYLESIE,4
MILICZ,1
MŁOTY,4
NAMYSŁÓW,2
NYSA,3
OBORNIKI ŚLĄSKIE,1
ODOLANÓW,2
OŁDRZYCHOWICE KŁODZKIE,4
OPOLE,3
OSETNO,0
OSTROSZOWICE,2
OSTRZESZÓW II,2
OTMUCHÓW,3
PACZKÓW,3
POLANICA-ZDRÓJ,4
POLKOWICE DOLNE,1
PRUDNIK,3
PRZEWORNO,2
PSZENNO,2
RACIBÓRZ-MIEDONIA,3
RACŁAWICE ŚLĄSKIE,3
ROŻNÓW,3
RUDNA,0
RYBNIK,3
SŁOSZÓW,4
SMOLICE,1
SREBRNA GÓRA,4
STARE OLESNO,3
STRONIE ŚLĄSKIE,4
STRZELIN,2
SUKOWICE,3
SZALEJÓW GÓRNY,4
SZCZAWNO-ZDRÓJ,2
ŚWIERZAWA,1
TARNÓW,3
TRZEBNICA,1
TWARDOCICE,2
WALIM,2
WROCŁAW-STRACHOWICE,1
ZIELENIEC,4
ZIELINA,3
ŹRÓDŁA,1
